title,company,link
Lead Frontend Developer / Vue.js (m/f/x) - remote work,refurbed,https://weworkremotely.com//remote-jobs/refurbed-lead-frontend-developer-vue-js-m-f-x-remote-work
Vue.js Developer,X-Team,https://weworkremotely.com//remote-jobs/x-team-vue-js-developer
